No.					Name				Type1				Type2				Normal_Ability1		Normal_Ability2		Hidden_Ability		Catch_Rate			Egg_Group1			Egg_Group2			Egg_Cycle			Height(m)			Weight(kg)			HP					Attack				Defense				Spcial_Attack		Spcial_Defense		Speed				Total				
001					Bulbasaur			Grass				Poison				Overgrow			Unknown				Chlorophyll			45					Monster				Grass				5140				0.7					6.9					45					49					49					65					65					45					318					
002					Ivysaur				Grass				Poison				Overgrow			Unknown				Chlorophyll			45					Monster				Grass				5140				1.0					13.0				60					62					63					80					80					60					405					
003					Venusaur			Grass				Poison				Overgrow			Unknown				Chlorophyll			45					Monster				Grass				5140				2.0					100.0				80					82					83					100					100					80					525					
004					Charmander			Fire				Unknown				Blaze				Unknown				Solar_Power			45					Monster				Dragon				5140				0.6					8.5					39					52					43					60					50					65					309					
005					Charmeleon			Fire				Unknown				Blaze				Unknown				Solar_Power			45					Monster				Dragon				5140				1.1					19.0				58					64					58					80					65					80					405					
006					Charizard			Fire				Flying				Blaze				Unknown				Solar_Power			45					Monster				Dragon				5140				1.7					90.5				78					84					78					109					85					100					534					
007					Squirtle			Water				Unknown				Torrent				Unknown				Rain_Dish			45					Monster				Water_1				5140				0.5					9.0					44					48					65					50					64					43					314					
008					Wartortle			Water				Unknown				Torrent				Unknown				Rain_Dish			45					Monster				Water_1				5140				1.0					22.5				59					63					80					65					80					58					405					
009					Blastoise			Water				Unknown				Torrent				Unknown				Rain_Dish			45					Monster				Water_1				5140				1.6					85.5				79					83					100					85					105					78					530					
010					Caterpie			Bug					Unknown				Shield_Dust			Unknown				Run_Away			255					Bug					Unknown				3855				0.3					2.9					45					30					35					20					20					45					195					
011					Metapod				Bug					Unknown				Shed_Skin			Unknown				Unknown				120					Bug					Unknown				3855				0.7					9.9					50					20					55					25					25					30					205					
012					Butterfree			Bug					Flying				Compound_Eyes		Unknown				Tinted_Lens			45					Bug					Unknown				3855				1.1					32.0				60					45					50					80					80					70					385					
013					Weedle				Bug					Poison				Shield_Dust			Unknown				Run_Away			255					Bug					Unknown				3855				0.3					3.2					40					35					30					20					20					50					195					
014					Kakuna				Bug					Poison				Shed_Skin			Unknown				Unknown				120					Bug					Unknown				3855				0.6					10.0				45					25					50					25					25					35					205					
015					Beedrill			Bug					Poison				Swarm				Unknown				Sniper				45					Bug					Unknown				3855				1.0					29.5				65					80					40					45					80					75					385					
016					Pidgey				Normal				Flying				Keen_Eye			Tangled_Feet		Big_Pecks			255					Flying				Unknown				3855				0.3					1.8					40					45					40					35					35					56					251					
017					Pidgeotto			Normal				Flying				Keen_Eye			Tangled_Feet		Big_Pecks			120					Flying				Unknown				3855				1.1					30.0				63					60					55					50					50					71					349					
018					Pidgeot				Normal				Flying				Keen_Eye			Tangled_Feet		Big_Pecks			45					Flying				Unknown				3855				1.5					39.5				83					80					75					70					70					91					469					
019					Rattata				Normal				Unknown				Run_Away			Guts				Hustle				255					Field				Unknown				3855				0.3					3.5					30					56					35					25					35					72					253					
020					Raticate			Normal				Unknown				Run_Away			Guts				Hustle				127					Field				Unknown				3855				0.7					18.5				55					81					60					50					70					97					413					
021					Spearow				Normal				Flying				Keen_Eye			Unknown				Sniper				255					Flying				Unknown				3855				0.3					2.0					40					60					30					31					31					70					262					
022					Fearow				Normal				Flying				Keen_Eye			Unknown				Sniper				90					Flying				Unknown				3855				1.2					38.0				65					90					65					61					61					100					442					
023					Ekans				Poison				Unknown				Intimidate			Shed_Skin			Unnerve				255					Field				Dragon				5140				2.0					6.9					35					60					44					40					54					55					288					
024					Arbok				Poison				Unknown				Intimidate			Shed_Skin			Unnerve				90					Field				Dragon				5140				3.5					65.0				60					85					69					65					79					80					438					
025					Pikachu				Electric			Unknown				Static				Unknown				Lightning_Rod		190					Field				Fairy				2570				0.4					6.0					35					55					30					50					40					90					300					
026					Raichu				Electric			Unknown				Static				Unknown				Lightning_Rod		75					Field				Fairy				2570				0.8					30.0				60					90					55					90					80					100					475					
027					Sandshrew			Ground				Unknown				Sand_Veil			Unknown				Sand_Rush			255					Field				Unknown				5140				0.6					12.0				50					75					85					20					30					40					300					
028					Sandslash			Ground				Unknown				Sand_Veil			Unknown				Sand_Rush			90					Field				Unknown				5140				1.0					29.5				75					100					110					45					55					65					450					
029					Nidoran¡â			Poison				Unknown				Poison_Point		Rivalry				Hustle				235					Monster				Field				5140				0.4					7.0					55					47					52					40					40					41					275					
030					Nidorina			Poison				Unknown				Poison_Point		Rivalry				Hustle				120					Undiscovered		Unknown				5140				0.8					20.0				70					62					67					55					55					56					365					
031					Nidoqueen			Poison				Ground				Poison_Point		Rivalry				Sheer_Force			45					Undiscovered		Unknown				5140				1.3					60.0				90					82					87					75					85					76					495					
032					Nidoran¡á			Poison				Unknown				Poison_Point		Rivalry				Hustle				235					Monster				Field				5140				0.5					9.0					46					57					40					40					40					50					273					
033					Nidorino			Poison				Unknown				Poison_Point		Rivalry				Hustle				120					Monster				Field				5140				0.9					19.5				61					72					57					55					55					65					365					
034					Nidoking			Poison				Ground				Poison_Point		Rivalry				Sheer_Force			45					Monster				Field				5140				1.4					62.0				81					92					77					85					75					85					495					
035					Clefairy			Fairy				Unknown				Cute_Charm			Magic_Guard			Friend_Guard		150					Fairy				Unknown				5140				0.6					7.5					70					45					48					60					65					35					323					
036					Clefable			Fairy				Unknown				Cute_Charm			Magic_Guard			Unaware				25					Fairy				Unknown				2570				1.3					40.0				95					70					73					85					90					60					473					
037					Vulpix				Fire				Unknown				Flash_Fire			Unknown				Drought				190					Field				Unknown				5140				0.6					9.9					38					41					40					50					65					65					299					
038					Ninetales			Fire				Unknown				Flash_Fire			Unknown				Drought				75					Field				Unknown				5140				1.1					19.9				73					76					75					81					100					100					505					
039					Jigglypuff			Normal				Fairy				Cute_Charm			Competitive			Friend_Guard		170					Fairy				Unknown				2570				0.5					5.5					115					45					20					45					25					20					270					
040					Wigglytuff			Normal				Fairy				Cute_Charm			Competitive			Frisk				50					Fairy				Unknown				2570				1.0					12.0				140					70					45					75					50					45					425					
041					Zubat				Poison				Flying				Inner_Focus			Unknown				Infiltrator			255					Flying				Unknown				3855				0.8					7.5					40					45					35					30					40					55					245					
042					Golbat				Poison				Flying				Inner_Focus			Unknown				Infiltrator			90					Flying				Unknown				3855				1.6					55.0				75					80					70					65					75					90					455					
043					Oddish				Grass				Poison				Chlorophyll			Unknown				Run_Away			255					Grass				Unknown				5140				0.5					5.4					45					50					55					75					65					30					320					
044					Gloom				Grass				Poison				Chlorophyll			Unknown				Stench				120					Grass				Unknown				5140				0.8					8.6					60					65					70					85					75					40					395					
045					Vileplume			Grass				Poison				Chlorophyll			Unknown				Effect_Spore		45					Grass				Unknown				5140				1.2					18.6				75					80					85					100					90					50					480					
046					Paras				Bug					Grass				Effect_Spore		Dry_Skin			Damp				190					Bug					Grass				5140				0.3					5.4					35					70					55					45					55					25					285					
047					Parasect			Bug					Grass				Effect_Spore		Dry_Skin			Damp				75					Bug					Grass				5140				1.0					29.5				60					95					80					60					80					30					405					
048					Venonat				Bug					Poison				Compound_Eyes		Tinted_Lens			Run_Away			190					Bug					Unknown				5140				1.0					30.0				60					55					50					40					55					45					305					
049					Venomoth			Bug					Poison				Shield_Dust			Tinted_Lens			Wonder_Skin			75					Bug					Unknown				5140				1.5					12.5				70					65					60					90					75					90					450					
050					Diglett				Ground				Unknown				Sand_Veil			Arena_Trap			Sand_Force			255					Field				Unknown				5140				0.2					0.8					10					55					25					35					45					95					265					
051					Dugtrio				Ground				Unknown				Sand_Veil			Arena_Trap			Sand_Force			50					Field				Unknown				5140				0.7					33.3				35					80					50					50					70					120					405					
052					Meowth				Normal				Unknown				Pickup				Technician			Unnerve				255					Field				Unknown				5140				0.4					4.2					40					45					35					40					40					90					290					
053					Persian				Normal				Unknown				Limber				Technician			Unnerve				90					Field				Unknown				5140				1.0					32.0				65					70					60					65					65					115					440					
054					Psyduck				Water				Unknown				Damp				Cloud_Nine			Swift_Swim			190					Water_1				Field				5140				0.8					19.6				50					52					48					65					50					55					320					
055					Golduck				Water				Unknown				Damp				Cloud_Nine			Swift_Swim			75					Water_1				Field				5140				1.7					76.6				80					82					78					95					80					85					500					
056					Mankey				Fighting			Unknown				Vital_Spirit		Anger_Point			Defiant				190					Field				Unknown				5140				0.5					28.0				40					80					35					35					45					70					305					
057					Primeape			Fighting			Unknown				Vital_Spirit		Anger_Point			Defiant				75					Field				Unknown				5140				1.0					32.0				65					105					60					60					70					95					455					
058					Growlithe			Fire				Unknown				Intimidate			Flash_Fire			Justified			190					Field				Unknown				5140				0.7					19.0				55					70					45					70					50					60					350					
059					Arcanine			Fire				Unknown				Intimidate			Flash_Fire			Justified			75					Field				Unknown				5140				1.9					155.0				90					110					80					100					80					95					555					
060					Poliwag				Water				Unknown				Water_Absorb		Damp				Swift_Swim			255					Water_1				Unknown				5140				0.6					12.4				40					50					40					40					40					90					300					
061					Poliwhirl			Water				Unknown				Water_Absorb		Damp				Swift_Swim			120					Water_1				Unknown				5140				1.0					20.0				65					65					65					50					50					90					385					
062					Poliwrath			Water				Fighting			Water_Absorb		Damp				Swift_Swim			45					Water_1				Unknown				5140				1.3					54.0				90					85					95					70					90					70					500					
063					Abra				Psychic				Unknown				Synchronize			Inner_Focus			Magic_Guard			200					Human-Like			Unknown				5140				0.9					19.5				25					20					15					105					55					90					310					
064					Kadabra				Psychic				Unknown				Synchronize			Inner_Focus			Magic_Guard			100					Human-Like			Unknown				5140				1.3					56.5				40					35					30					120					70					105					400					
065					Alakazam			Psychic				Unknown				Synchronize			Inner_Focus			Magic_Guard			50					Human-Like			Unknown				5140				1.5					48.0				55					50					45					135					85					120					490					
